stock_id,ticker,company_name,sector,industry,country,market_cap,p_e,price,change,volume,upcoming_earnings,etf,is_options_exists,round_lot_size,create_date,update_date
a0348e7b-b8d7-4815-abe2-d7baa85b33f3,TDOC,Teladoc Health Inc,Healthcare,Health Information Services,USA,404,-,21.03,-2.68%,404,10-07-2024,FALSE,FALSE,100,,
a3d89f55-4b0a-486e-9e57-274367d98602,TEAM,Atlassian Corporation,Technology,Software - Application,USA,404,-,207.84,-2.48%,404,10-08-2024,FALSE,FALSE,100,,
bff54d15-5089-4a7d-8e92-4da89dab50b1,THC,Tenet Healthcare Corp.,Healthcare,Medical Care Facilities,USA,404,15.7,90.93,1.15%,404,10-09-2024,FALSE,FALSE,100,,
54827d2f-9f24-4d86-8e8e-6a189ab233eb,TJX,"TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,USA,404,27.76,98.04,0.10%,404,10-10-2024,FALSE,FALSE,100,,
00391a36-f54a-4e9f-b7c3-3fd2f2a04e65,TOST,Toast Inc,Technology,Software - Infrastructure,USA,404,-,22.42,16.77%,404,10-11-2024,FALSE,FALSE,100,,
7d52cc23-f8ed-4ddc-8635-ae97f4503b3d,TREX,"TREX Co., Inc.",Industrials,Building Products & Equipment,USA,404,51.11,90.86,0.25%,404,10-12-2024,FALSE,FALSE,100,,
0cc9dd0d-25df-4ef2-b13a-609f8b5dc1c5,TRIP,TripAdvisor Inc.,Consumer Cyclical,Travel Services,USA,404,463.6,26.75,-3.29%,404,10/13/2024,FALSE,FALSE,100,,
1bb044cf-d4d3-49ab-8474-21c13d24dca0,TROW,T. Rowe Price Group Inc.,Financial,Asset Management,USA,404,14.03,108.86,0.55%,404,10/14/2024,FALSE,FALSE,100,,
6e3fffa9-11c2-441b-ba3c-fbe1bf7b6d11,TRV,Travelers Companies Inc.,Financial,Insurance - Property & Casualty,USA,404,16.95,217.53,-0.68%,404,10/15/2024,FALSE,FALSE,100,,
571ce13b-c61b-4444-b670-64b064b74598,TTD,Trade Desk Inc,Technology,Software - Application,USA,404,248.55,88.93,17.46%,404,10/16/2024,FALSE,FALSE,100,,
3a3033c6-06b5-48b5-870f-3520d88f2992,TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,404,32.54,147.7,10.31%,404,10/17/2024,FALSE,FALSE,100,,
90c03b99-17a6-4631-ae14-3fd73c6b2f21,U,Unity Software Inc,Technology,Software - Application,USA,404,-,33.9,-3.20%,404,10/18/2024,FALSE,FALSE,100,,
